,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1998-12-01,47.609375,63.65625,41.36738154761904,55.740805357142854,3.7224926849632896,4.0207124704091095,33.53557857856493,0.994
1999-01-01,45.16,63.33833333333334,44.03795654761904,57.65790119047618,3.7850519108601457,4.054527291798831,36.092160795969704,0.991
1999-02-01,48.357142857142854,65.65535714285714,46.53976904761903,59.41352619047618,3.840307195412736,4.084521914090163,38.58855537906728,0.987
1999-03-01,48.5125,62.559375,48.833456547619036,60.95222261904761,3.8884156629452633,4.110090321530616,41.00548514960979,0.983
1999-04-01,46.626666666666665,61.385000000000005,50.78092321428571,62.19962261904762,3.9275207567785704,4.130348932508844,43.87050221898029,0.976
1999-05-01,50.154999999999994,70.49999999999999,52.11332321428571,63.00682261904762,3.9534206399501857,4.143243016068432,46.65605447579572,0.966
1999-06-01,58.315000000000005,70.12166666666667,53.81939404761904,64.12476845238093,3.9856338863654237,4.160830692605365,49.53799262385045,0.953
1999-07-01,71.940625,74.5484375,55.139802380952375,65.05753928571428,4.009871821638419,4.175272098099898,52.516316663144465,0.935
1999-08-01,73.34,73.37166666666667,56.30166904761903,65.67153928571427,4.030724180312244,4.184665639637545,55.79943430962407,0.909
1999-09-01,72.54,71.16000000000001,58.150594047619045,66.67535595238094,4.0630360946927,4.1998354086722145,58.97695585747927,0.875
1999-10-01,64.1109375,72.0796875,59.3242232142857,67.40087678571427,4.083017708503035,4.210658026523772,62.250863296573776,0.83
1999-11-01,66.28,74.38833333333334,60.39508988095237,68.30767678571428,4.100907808274569,4.224022158294443,65.84926990284055,0.766
1999-12-01,71.08500000000001,74.69666666666667,61.167423214285705,68.84701011904761,4.113614747375949,4.231886798219347,69.32237485049625,0.688
2000-01-01,73.984375,74.2890625,60.680610714285706,68.41619761904761,4.1056242189367005,4.2256096038901,70.0,0.59
2000-02-01,74.5,73.0,59.63699642857142,67.89130714285714,4.088276126934372,4.217908001963188,70.0,0.462
2000-03-01,74.2046875,71.753125,58.255844047619036,67.04755952380951,4.064844414411145,4.20540221121008,70.0,0.331
2000-04-01,73.18333333333334,71.40833333333335,57.620344047619035,66.62818452380951,4.053875700614243,4.199127679074458,70.0,0.165
2000-05-01,67.65,72.465,57.69358988095237,66.80334702380952,4.055146073425031,4.201753184434228,70.0,0.0
2000-06-01,69.82833333333335,71.47833333333334,57.56805654761904,66.43101369047619,4.052967840042846,4.196164021089193,70.0,-0.165
2000-07-01,61.746875,68.7359375,57.131656547619045,66.1371470238095,4.045358368423449,4.191730571210671,70.0,-0.322
2000-08-01,57.23,64.04333333333334,55.60878154761903,65.4448345238095,4.01834113028903,4.181207566763284,70.0,-0.471
2000-09-01,62.87,67.32666666666665,53.818848214285715,64.46830119047618,3.985623744369013,4.166173648587204,70.0,-0.59
2000-10-01,48.8640625,62.854687500000004,52.20298154761903,63.46016785714286,3.955139611027915,4.15041243123732,70.0,-0.688
2000-11-01,47.49166666666666,62.86,51.24434404761904,62.710713690476176,3.9366052518819417,4.1385323052982725,70.0,-0.771
2000-12-01,53.599999999999994,63.5,50.15901904761904,62.137305357142864,3.91519833966651,4.129346538961938,70.0,-0.83
2001-01-01,35.4390625,52.8859375,48.91655238095237,61.428305357142854,3.890115833702492,4.117870728227565,69.35916470295052,-0.875
2001-02-01,19.06964285714286,50.216071428571425,47.92167738095237,60.93145714285713,3.8695679569707107,4.109749579005744,68.03901178684154,-0.911
2001-03-01,13.828333333333335,44.56166666666667,46.67905238095237,60.37183214285714,3.8432955068899437,4.100522640912629,66.89510014005444,-0.934
2001-04-01,32.625,52.075,45.546731547619046,59.80784047619047,3.818738865865113,4.091136764004187,65.68110346454819,-0.952
2001-05-01,48.4578125,65.76406250000001,44.32639821428572,59.19164047619047,3.7915803960602856,4.080780323746689,64.47913052633652,-0.966
2001-06-01,47.016666666666666,61.19166666666666,43.12906488095237,58.53137380952379,3.764197129018548,4.069562914914288,63.21027888935094,-0.976
2001-07-01,47.404999999999994,62.775,41.96693154761903,57.941552976190465,3.7368819640609,4.059434795160992,62.033155008214656,-0.983
2001-08-01,33.86875,57.240625,41.04838988095237,57.2600488095238,3.7147516117662667,4.047603152088813,60.868054864372915,-0.987
2001-09-01,28.59166666666667,48.95833333333334,40.79418988095238,57.04131547619047,3.7085396663909607,4.043775838185664,59.63853420804862,-0.991
2001-10-01,32.14333333333333,45.95666666666666,40.16688988095237,56.6976863095238,3.6930430214492924,4.037733404072622,58.498283121282284,-0.994
2001-11-01,40.145,53.343333333333334,39.77492738095238,56.354165476190474,3.683236748476172,4.03165615924779,57.370055771810506,-0.995
2001-12-01,39.146875,60.053125,39.71666071428571,56.204765476190474,3.681770765005519,4.029001548254765,56.25385215963325,-0.997
2002-01-01,40.02333333333333,56.971666666666664,39.59772321428571,56.10570297619046,3.6787716220188127,4.027237464691493,55.076487803751085,-0.998
2002-02-01,49.1125,61.86785714285714,40.12466071428571,56.383265476190466,3.691991125695694,4.032172403061409,53.985133248649255,-0.998
2002-03-01,43.43437500000001,59.009375,41.04887499999999,56.539289285714275,3.7147634299199734,4.034935782071729,52.977383746868846,-0.999
2002-04-01,45.896666666666675,57.65333333333333,42.08074166666666,56.8548226190476,3.7395901934325613,4.040501047188742,51.83849535032922,-0.999
2002-05-01,42.675,56.00333333333333,42.428616666666656,57.01594761904761,3.7478230559645507,4.043331011492953,50.78321200711104,-0.999
2002-06-01,37.71666666666667,55.958333333333336,42.174304166666666,56.710385119047615,3.741811129580258,4.0379573530282284,49.73995240118738,-1.0
